Crew_ID,Aircraft_ID,Pilot_Name,Qualification_Level,Total_Flight_Hours,Current_Status
1,141,Pilot_1,Intermediate,3016,Available
2,444,Pilot_2,Intermediate,2025,Available
3,234,Pilot_3,Basic,3873,In Training
4,264,Pilot_4,Advanced,3129,On Leave
5,261,Pilot_5,Advanced,3533,In Training
6,7,Pilot_6,Intermediate,1005,On Leave
7,421,Pilot_7,Intermediate,4610,In Training
8,327,Pilot_8,Intermediate,2881,In Training
9,178,Pilot_9,Intermediate,1688,In Training
10,32,Pilot_10,Intermediate,2093,In Training
11,239,Pilot_11,Advanced,3430,Available
12,217,Pilot_12,Basic,2855,In Training
13,340,Pilot_13,Advanced,4535,On Leave
14,413,Pilot_14,Intermediate,3377,Available
15,312,Pilot_15,Intermediate,879,Available
16,6,Pilot_16,Intermediate,4502,Available
17,224,Pilot_17,Advanced,1623,On Leave
18,6,Pilot_18,Basic,1015,Available
19,332,Pilot_19,Advanced,3901,On Leave
20,474,Pilot_20,Intermediate,4772,On Leave
21,274,Pilot_21,Intermediate,2578,Available
22,176,Pilot_22,Basic,3817,On Leave
23,467,Pilot_23,Intermediate,500,Available
24,446,Pilot_24,Basic,859,Available
25,11,Pilot_25,Advanced,4438,Available
26,370,Pilot_26,Intermediate,2255,On Leave
27,406,Pilot_27,Intermediate,2174,Available
28,244,Pilot_28,Advanced,2697,On Leave
29,454,Pilot_29,Advanced,3216,In Training
30,74,Pilot_30,Advanced,4008,In Training
31,206,Pilot_31,Basic,2117,In Training
32,38,Pilot_32,Basic,4780,In Training
33,343,Pilot_33,Advanced,3884,Available
34,170,Pilot_34,Intermediate,760,On Leave
35,205,Pilot_35,Intermediate,3511,In Training
36,31,Pilot_36,Advanced,2755,Available
37,262,Pilot_37,Basic,882,In Training
38,426,Pilot_38,Advanced,1465,In Training
39,284,Pilot_39,Intermediate,2333,In Training
40,410,Pilot_40,Advanced,4138,In Training
41,331,Pilot_41,Intermediate,4884,In Training
42,431,Pilot_42,Advanced,920,In Training
43,189,Pilot_43,Basic,3899,In Training
44,365,Pilot_44,Intermediate,4101,Available
45,118,Pilot_45,Intermediate,3807,On Leave
46,226,Pilot_46,Advanced,3629,In Training
47,168,Pilot_47,Intermediate,858,On Leave
48,225,Pilot_48,Intermediate,4988,In Training
49,442,Pilot_49,Intermediate,1731,In Training
50,319,Pilot_50,Intermediate,4277,Available
51,166,Pilot_51,Intermediate,2724,In Training
52,387,Pilot_52,Intermediate,2650,Available
53,430,Pilot_53,Basic,2784,Available
54,99,Pilot_54,Intermediate,4484,On Leave
55,35,Pilot_55,Basic,2950,Available
56,459,Pilot_56,Advanced,3657,In Training
57,71,Pilot_57,Basic,4543,Available
58,499,Pilot_58,Intermediate,3807,On Leave
59,318,Pilot_59,Basic,4348,In Training
60,417,Pilot_60,Basic,3703,In Training
61,129,Pilot_61,Intermediate,4800,On Leave
62,401,Pilot_62,Basic,2078,Available
63,448,Pilot_63,Intermediate,2763,Available
64,8,Pilot_64,Basic,4769,On Leave
65,132,Pilot_65,Advanced,1659,Available
66,478,Pilot_66,Basic,3007,Available
67,290,Pilot_67,Advanced,1131,On Leave
68,498,Pilot_68,Advanced,4661,Available
69,416,Pilot_69,Intermediate,2878,On Leave
70,326,Pilot_70,Advanced,838,In Training
71,262,Pilot_71,Advanced,3511,In Training
72,2,Pilot_72,Basic,4374,On Leave
73,166,Pilot_73,Basic,1874,Available
74,289,Pilot_74,Intermediate,2339,In Training
75,373,Pilot_75,Intermediate,2604,Available
76,31,Pilot_76,Advanced,4275,Available
77,134,Pilot_77,Intermediate,4853,Available
78,9,Pilot_78,Intermediate,1569,In Training
79,282,Pilot_79,Basic,4477,Available
80,118,Pilot_80,Basic,2176,Available
81,332,Pilot_81,Intermediate,4659,Available
82,277,Pilot_82,Intermediate,3313,Available
83,227,Pilot_83,Basic,4751,In Training
84,155,Pilot_84,Basic,3009,Available
85,229,Pilot_85,Basic,1631,Available
86,214,Pilot_86,Basic,1315,Available
87,104,Pilot_87,Intermediate,2486,In Training
88,309,Pilot_88,Basic,4655,In Training
89,225,Pilot_89,Basic,1099,In Training
90,405,Pilot_90,Intermediate,1890,Available
91,129,Pilot_91,Basic,2582,On Leave
92,398,Pilot_92,Intermediate,1192,In Training
93,35,Pilot_93,Intermediate,4890,In Training
94,410,Pilot_94,Basic,2411,In Training
95,114,Pilot_95,Basic,2696,Available
