Flight_ID,Aircraft_ID,Date,Flight_Hours,Mission_Type
1,291,2024-12-28,10.0,Combat
2,408,2024-10-13,6.8,Logistics
3,497,2024-12-11,0.8,Training
4,219,2024-07-07,0.5,Logistics
5,409,2024-10-19,4.0,Test Flight
6,73,2024-10-24,8.9,Combat
7,290,2024-09-20,4.0,Reconnaissance
8,72,2024-05-09,4.6,Test Flight
9,228,2024-08-15,8.9,Reconnaissance
10,336,2024-08-12,9.0,Combat
11,132,2024-12-15,9.7,Reconnaissance
12,176,2024-03-30,5.6,Reconnaissance
13,430,2024-10-21,8.4,Combat
14,377,2024-11-02,8.3,Reconnaissance
15,263,2024-08-01,7.8,Test Flight
16,228,2024-06-19,8.7,Test Flight
17,34,2024-12-14,1.4,Combat
18,92,2024-12-06,4.6,Test Flight
19,229,2024-09-26,3.8,Reconnaissance
20,341,2024-07-27,8.1,Training
21,482,2024-08-24,6.7,Training
22,123,2024-08-30,6.1,Training
23,179,2024-08-04,0.6,Reconnaissance
24,450,2024-10-31,3.2,Reconnaissance
25,389,2024-10-06,1.8,Reconnaissance
26,268,2024-11-11,5.6,Combat
27,447,2024-09-04,8.2,Test Flight
28,116,2024-08-19,6.1,Combat
29,36,2024-08-06,3.2,Training
30,17,2024-09-21,3.4,Logistics
31,94,2024-07-24,0.5,Reconnaissance
32,15,2024-12-24,6.0,Reconnaissance
33,297,2024-02-06,2.1,Test Flight
34,353,2024-12-24,3.0,Training
35,481,2024-07-18,9.7,Test Flight
36,498,2024-10-04,8.8,Logistics
37,129,2024-09-11,9.4,Training
38,271,2024-01-12,5.8,Training
39,439,2024-11-23,1.1,Reconnaissance
40,500,2024-07-25,7.9,Training
41,406,2024-03-19,9.3,Combat
42,263,2024-11-14,6.3,Test Flight
43,194,2024-10-14,1.8,Logistics
44,455,2024-11-30,5.1,Training
45,86,2024-10-18,9.0,Training
46,277,2024-05-23,1.1,Combat
47,9,2024-01-17,8.0,Combat
48,485,2024-07-03,4.8,Logistics
49,70,2024-03-05,0.7,Combat
50,40,2024-01-29,1.9,Test Flight
51,120,2024-11-15,2.5,Combat
52,371,2024-04-12,9.5,Reconnaissance
53,461,2024-06-15,4.3,Combat
54,419,2024-12-28,3.4,Test Flight
55,435,2024-01-16,1.6,Reconnaissance
56,337,2024-11-30,3.9,Training
57,201,2024-08-18,7.5,Test Flight
58,480,2024-06-03,6.5,Reconnaissance
59,438,2024-09-13,1.8,Combat
60,466,2024-05-17,1.4,Combat
61,395,2024-01-28,3.2,Test Flight
62,431,2024-03-09,7.5,Test Flight
63,88,2024-11-17,1.9,Training
64,259,2024-05-02,5.0,Training
65,368,2024-06-06,8.6,Reconnaissance
66,317,2024-08-04,7.0,Logistics
