Maintenance_ID,Aircraft_ID,Date,Subsystem,Issue_Reported,Resolution,Downtime_Days
1,96,2024-06-12,Engine,Fuel Leak,Part Repair,8
2,429,2024-10-06,Engine,Radar Failure,Part Repair,22
3,430,2024-04-05,Landing Gear,Sensor Fault,System Reset,5
4,56,2024-09-18,Landing Gear,Weapon Jam,System Reset,21
5,125,2024-03-17,Radar,Oil Leak,System Reset,5
6,268,2024-02-28,Weapons,Gear Malfunction,System Reset,19
7,39,2024-01-29,Avionics,Hydraulic Leak,Component Replacement,15
8,366,2024-08-14,Hydraulics,Hydraulic Leak,Part Repair,20
9,399,2024-04-28,Avionics,Radar Failure,Calibration,20
10,266,2024-01-15,Engine,Fuel Leak,Inspection,16
11,269,2024-09-07,Radar,Gear Malfunction,Part Repair,15
12,367,2024-11-24,Fuel System,Fuel Leak,Calibration,19
13,258,2024-11-09,Fuel System,Fuel Leak,System Reset,22
14,379,2024-05-18,Landing Gear,Radar Failure,Inspection,4
15,220,2024-10-24,Radar,Gear Malfunction,Component Replacement,20
16,22,2024-01-29,Landing Gear,Sensor Fault,Part Repair,22
17,160,2024-05-13,Hydraulics,Oil Leak,Inspection,19
18,259,2024-10-24,Engine,Oil Leak,Part Repair,18
19,484,2024-03-23,Avionics,Sensor Fault,Calibration,9
20,360,2024-10-24,Radar,Fuel Leak,Calibration,22
21,479,2024-02-23,Weapons,Oil Leak,System Reset,9
22,325,2024-03-24,Weapons,Hydraulic Leak,Inspection,2
23,57,2024-02-12,Hydraulics,Weapon Jam,Part Repair,9
24,184,2024-05-18,Landing Gear,Oil Leak,Component Replacement,15
25,497,2024-05-15,Avionics,Weapon Jam,Part Repair,21
26,323,2024-03-27,Engine,Weapon Jam,Component Replacement,4
27,450,2024-09-01,Landing Gear,Oil Leak,Inspection,26
28,337,2024-02-13,Radar,Fuel Leak,Software Update,24
29,62,2024-07-15,Landing Gear,Radar Failure,Component Replacement,10
30,176,2024-10-05,Fuel System,Oil Leak,Component Replacement,24
31,284,2024-02-25,Avionics,Sensor Fault,Calibration,10
32,366,2024-11-10,Avionics,Oil Leak,Component Replacement,15
33,157,2024-12-28,Hydraulics,Radar Failure,Component Replacement,4
34,132,2024-10-25,Engine,Sensor Fault,Inspection,25
35,265,2024-07-21,Weapons,Gear Malfunction,Software Update,7
36,320,2024-03-30,Weapons,Oil Leak,Component Replacement,18
37,400,2024-09-20,Landing Gear,Radar Failure,Part Repair,5
38,478,2024-03-25,Avionics,Gear Malfunction,Software Update,5
39,107,2024-01-17,Avionics,Radar Failure,Calibration,15
40,217,2024-06-25,Hydraulics,Fuel Leak,Software Update,10
41,3,2024-10-11,Fuel System,Gear Malfunction,Inspection,15
42,193,2024-10-22,Engine,Weapon Jam,Software Update,26
43,310,2024-11-04,Landing Gear,Weapon Jam,Calibration,21
44,50,2024-03-24,Weapons,Weapon Jam,System Reset,7
