Record_ID,Aircraft_ID,Date,Status,Reason
1,236,2024-09-09,Mission Capable,Under Maintenance
2,164,2024-01-07,Mission Capable,Under Maintenance
3,175,2024-06-08,Partially Mission Capable,Crew Shortage
4,334,2024-10-15,Mission Capable,Awaiting Parts
5,176,2024-12-24,Mission Capable,Awaiting Parts
6,36,2024-12-21,Partially Mission Capable,Awaiting Parts
7,394,2024-06-18,Mission Capable,Awaiting Parts
8,490,2024-04-28,Mission Capable,Fully Operational
9,187,2024-12-06,Mission Capable,Under Maintenance
10,341,2024-04-09,Mission Capable,Awaiting Parts
11,492,2024-01-24,Non-Mission Capable,Fully Operational
12,101,2024-10-11,Partially Mission Capable,Under Maintenance
13,141,2024-06-25,Mission Capable,Fully Operational
14,282,2024-08-11,Mission Capable,Crew Shortage
15,109,2024-02-13,Non-Mission Capable,Awaiting Parts
16,326,2024-01-27,Mission Capable,Awaiting Parts
17,110,2024-08-21,Partially Mission Capable,Awaiting Parts
18,490,2024-11-05,Partially Mission Capable,Fully Operational
19,127,2024-05-23,Mission Capable,Under Maintenance
20,315,2024-12-19,Partially Mission Capable,Fully Operational
21,36,2024-12-15,Non-Mission Capable,Awaiting Parts
22,462,2024-08-03,Mission Capable,Crew Shortage
23,295,2024-03-01,Partially Mission Capable,Awaiting Parts
24,275,2024-07-09,Mission Capable,Crew Shortage
25,400,2024-12-13,Mission Capable,Crew Shortage
26,234,2024-12-22,Partially Mission Capable,Crew Shortage
27,383,2024-05-29,Mission Capable,Fully Operational
28,476,2024-05-31,Partially Mission Capable,Under Maintenance
29,485,2024-12-24,Mission Capable,Awaiting Parts
30,279,2024-03-13,Partially Mission Capable,Awaiting Parts
31,22,2024-03-20,Partially Mission Capable,Awaiting Parts
32,332,2024-08-21,Mission Capable,Crew Shortage
33,272,2024-03-29,Mission Capable,Under Maintenance
34,435,2024-09-13,Mission Capable,Awaiting Parts
35,470,2024-06-16,Mission Capable,Under Maintenance
36,447,2024-11-28,Non-Mission Capable,Crew Shortage
37,350,2024-08-27,Partially Mission Capable,Awaiting Parts
38,315,2024-05-18,Mission Capable,Fully Operational
39,242,2024-05-06,Mission Capable,Awaiting Parts
40,135,2024-05-11,Non-Mission Capable,Awaiting Parts
41,143,2024-12-05,Partially Mission Capable,Awaiting Parts
42,466,2024-05-10,Non-Mission Capable,Under Maintenance
43,1,2024-11-25,Mission Capable,Awaiting Parts
44,284,2024-11-09,Mission Capable,Under Maintenance
45,411,2024-02-02,Mission Capable,Fully Operational
46,157,2024-01-03,Mission Capable,Awaiting Parts
47,498,2024-05-15,Mission Capable,Under Maintenance
48,478,2024-07-23,Non-Mission Capable,Fully Operational
49,399,2024-09-27,Mission Capable,Crew Shortage
50,469,2024-08-13,Mission Capable,Awaiting Parts
51,492,2024-12-01,Partially Mission Capable,Awaiting Parts
52,474,2024-03-14,Mission Capable,Crew Shortage
53,343,2024-09-06,Partially Mission Capable,Awaiting Parts
54,158,2024-12-28,Non-Mission Capable,Fully Operational
55,344,2024-05-27,Mission Capable,Crew Shortage
56,333,2024-06-21,Mission Capable,Awaiting Parts
57,278,2024-05-03,Mission Capable,Awaiting Parts
58,103,2024-02-20,Partially Mission Capable,Under Maintenance
59,120,2024-08-07,Partially Mission Capable,Awaiting Parts
60,326,2024-05-24,Partially Mission Capable,Awaiting Parts
61,41,2024-06-26,Mission Capable,Awaiting Parts
62,64,2024-08-20,Partially Mission Capable,Fully Operational
63,241,2024-07-24,Non-Mission Capable,Fully Operational
64,236,2024-11-28,Mission Capable,Crew Shortage
65,281,2024-01-22,Partially Mission Capable,Awaiting Parts
66,253,2024-11-26,Non-Mission Capable,Awaiting Parts
67,21,2024-03-19,Partially Mission Capable,Awaiting Parts
68,106,2024-12-09,Mission Capable,Under Maintenance
69,335,2024-08-10,Mission Capable,Under Maintenance
70,425,2024-04-14,Mission Capable,Awaiting Parts
71,188,2024-04-28,Partially Mission Capable,Awaiting Parts
72,275,2024-03-09,Mission Capable,Awaiting Parts
73,158,2024-08-20,Mission Capable,Awaiting Parts
74,159,2024-12-15,Mission Capable,Crew Shortage
75,218,2024-12-27,Mission Capable,Awaiting Parts
76,339,2024-05-07,Mission Capable,Fully Operational
77,357,2024-09-24,Mission Capable,Awaiting Parts
78,269,2024-10-02,Mission Capable,Awaiting Parts
79,17,2024-01-05,Mission Capable,Fully Operational
80,452,2024-12-06,Mission Capable,Under Maintenance
81,209,2024-07-19,Mission Capable,Under Maintenance
82,339,2024-09-09,Mission Capable,Crew Shortage
83,163,2024-01-16,Partially Mission Capable,Awaiting Parts
84,126,2024-05-06,Partially Mission Capable,Under Maintenance
85,382,2024-01-10,Mission Capable,Fully Operational
86,400,2024-04-25,Non-Mission Capable,Crew Shortage
87,204,2024-06-30,Non-Mission Capable,Crew Shortage
88,460,2024-12-16,Mission Capable,Awaiting Parts
89,399,2024-02-15,Partially Mission Capable,Awaiting Parts
90,179,2024-06-19,Mission Capable,Under Maintenance
91,139,2024-02-01,Mission Capable,Fully Operational
92,255,2024-10-09,Partially Mission Capable,Awaiting Parts
93,450,2024-10-02,Non-Mission Capable,Crew Shortage
94,104,2024-06-28,Mission Capable,Awaiting Parts
95,144,2024-08-09,Partially Mission Capable,Fully Operational
96,232,2024-12-10,Partially Mission Capable,Awaiting Parts
97,172,2024-06-15,Mission Capable,Fully Operational
98,468,2024-11-03,Mission Capable,Fully Operational
99,256,2024-07-20,Mission Capable,Fully Operational
100,321,2024-05-28,Mission Capable,Under Maintenance
101,391,2024-04-08,Mission Capable,Awaiting Parts
102,424,2024-04-28,Mission Capable,Under Maintenance
103,389,2024-06-14,Non-Mission Capable,Under Maintenance
104,347,2024-11-11,Partially Mission Capable,Fully Operational
105,99,2024-07-12,Mission Capable,Under Maintenance
106,137,2024-10-01,Non-Mission Capable,Awaiting Parts
107,82,2024-06-28,Mission Capable,Awaiting Parts
108,334,2024-11-01,Non-Mission Capable,Awaiting Parts
109,131,2024-11-26,Mission Capable,Fully Operational
110,398,2024-12-03,Partially Mission Capable,Under Maintenance
111,194,2024-07-07,Mission Capable,Crew Shortage
112,154,2024-02-21,Partially Mission Capable,Awaiting Parts
113,99,2024-10-15,Mission Capable,Crew Shortage
114,337,2024-01-04,Non-Mission Capable,Awaiting Parts
115,336,2024-05-24,Mission Capable,Awaiting Parts
116,361,2024-03-03,Mission Capable,Crew Shortage
117,151,2024-04-11,Partially Mission Capable,Awaiting Parts
118,93,2024-06-15,Mission Capable,Awaiting Parts
119,274,2024-01-29,Partially Mission Capable,Awaiting Parts
120,435,2024-01-23,Mission Capable,Awaiting Parts
121,451,2024-11-22,Mission Capable,Fully Operational
122,319,2024-01-15,Mission Capable,Crew Shortage
123,431,2024-03-13,Non-Mission Capable,Awaiting Parts
124,356,2024-04-25,Mission Capable,Fully Operational
125,113,2024-03-09,Partially Mission Capable,Under Maintenance
126,207,2024-04-09,Non-Mission Capable,Awaiting Parts
127,27,2024-09-08,Non-Mission Capable,Crew Shortage
128,220,2024-05-28,Mission Capable,Awaiting Parts
129,17,2024-12-27,Mission Capable,Awaiting Parts
130,56,2024-10-22,Mission Capable,Awaiting Parts
131,442,2024-10-31,Mission Capable,Under Maintenance
132,182,2024-10-07,Mission Capable,Under Maintenance
133,276,2024-05-26,Partially Mission Capable,Under Maintenance
